title,author,image,tags,sinopsis,price,real_price,n_pages,editorial,lang,encuadernacion,ISBN,year,date
INVISIBLE (COLECCION CUENTOS PARA CONTAR ENTRE DOS),ELOY MORENO,https://imagessl2.casadellibro.com/a/l/t5/22/9788418050022.jpg,"Infantil,Infantil 5 a 6 años,Álbumes ilustrados",¿Quien no ha deseado alguna vez ser invisible?,6.99,6.64,48,NUBE DE TINTA,CASTELLANO,Tapa dura,9788418050022,2022,01/09/2022
EL LEGADO (#KISSME 5),ELLE KENNEDY,https://imagessl2.casadellibro.com/a/l/t5/52/9788418509452.jpg,"Juvenil,Más de 15 años,Libros románticos y de amor",,16.90,16.05,312,WONDERBOOKS,CASTELLANO,Tapa blanda,9788418509452,2022,17/10/2022
UNA CORTE DE NIEBLA Y FURIA. NUEVA PRESENTACION (UNA CORTE DE ROSAS Y ESPINAS 2),SARAH J. MAAS,https://imagessl0.casadellibro.com/a/l/t5/10/9788408257110.jpg,"Juvenil,Más de 15 años,Fantasía y magia","Tras haber superado más pruebas de las que un corazón humano puede soportar, Feyre regresa a la Corte Primavera con los poderes de una alta fae. Sin embargo, no consigue olvidar los crímenes que se vio obligada a cometer para salvar a Tamlin y a su pueblo, ni el perverso pacto que forjó con Rhysand, el alto lord de la temible Corte Noche.",12.90,12.25,592,PLANETA,CASTELLANO,,9788408257110,2022,13/04/2022
EL HOMBRE QUE CONFUNDIO A SU MUJER CON UN SOMBRERO,OLIVER SACKS,https://imagessl2.casadellibro.com/a/l/t5/82/9788433973382.jpg,"Medicina,Medicina general y especialidades,Neurología","En este libro, Oliver Sacks narra veinte historiales médicos de pacientes perdidos en el mundo extraño y aparentemente irremediable de las enfermedades neurológicas. Se trata de casos de individuos, aquejados por inauditas aberraciones de la percepción que han perdido la memoria, y con ella, la mayor parte de su pasado; que son incapaces de reconocer a sus familiares o los objetos cotidianos; que han sido descartados como retrasados mentales y que, sin embargo, poseen insólitos dones artísticos o científicos. Por extraños que parezcan estos casos, el doctor Sacks los relata con pasión humana y gran talento literario. Son estudios que nos permiten acceder al universo de los enfermos nerviosos y comprender su situación frente a las adversidades. Como gran médico, Oliver Sacks nunca pierde de vista el cometido final de la medicina: «el sujeto humano que sufre y lucha».",17.20,16.34,328,ANAGRAMA,CASTELLANO,Tapa blanda,9788433973382,2008,23/12/2008
MITOS GRIEGOS,MARIA ANGELIDOU,https://imagessl6.casadellibro.com/a/l/t5/56/9788431690656.jpg,"Infantil,Infantil 10 a 12 años,Literatura 10 a 12 años",,10.50,9.97,128,VICENS-VIVES,CASTELLANO,Tapa blanda,9788431690656,2013,25/09/2013
HISTORIA SECRETA DE MIS MEJORES CANCIONES,MIGUEL BOSE,https://imagessl2.casadellibro.com/a/l/t5/62/9788467066562.jpg,"Música,Compositores e interpretes","«Me temo que este libro va a romper muchas ilusiones. También historias arraigadas desde hace tiempo. Lo siento. No es mi intención ni la de este recopilatorio. Pero creo que, tras tantos años de licencia, llegó el momento de descifrar los secretos escondidos, esos que he venido guardando en cada una de estas 68 canciones.",9.99,9.49,384, ESPASA LIBROS,CASTELLANO,Tapa dura,9788467066562,2022,11/10/2022
MALESTAMOS: CUANDO ESTAR MAL ES UN PROBLEMA COLECTIVO,JAVIER PADILLA,https://imagessl0.casadellibro.com/a/l/t5/70/9788412553970.jpg,"Ciencias Políticas y Sociales,Sociología,Sociología del mundo",,7.99,7.59,112,CAPITAN SWING,CASTELLANO,Tapa blanda,9788412553970,2022,26/09/2022
12 REGLAS PARA VIVIR,JORDAN B. PETERSON,https://imagessl4.casadellibro.com/a/l/t5/14/9788408233114.jpg,"Autoayuda y Espiritualidad,Autoayuda","¿Cuáles son las reglas esenciales para vivir que todos deberíamos conocer? Regla n.° 1: mantente erguido con los hombros hacia atrás?, como las langostas; regla n.° 8: di la verdad, o por lo menos no mientas; regla n.° 11: no molestes a los niños cuando montan en monopatín; regla n.° 12: cuando te encuentres un gato por la calle, acarícialo.",39.50,37.52,512,PLANETA,CASTELLANO,Tapa blanda,9788408233114,2020,01/09/2020
LOS MIL NOMBRES DE LA LIBERTAD,MARIA REIG,https://imagessl4.casadellibro.com/a/l/t5/54/9788491294054.jpg,Narrativa histórica,". La familia De Villalta, burgueses acomodados de Santa Cruz  de Tenerife, recibe una carta preocupante y misteriosa en medio de  la  noche. Tiene que ver con los tristes eventos que han asolado a la  familia en los últimos tiempos. Inés, la hija mediana, emprenderá un  viaje a la península con la única intención de salvar a su familia.",22.90,21.75,880,SUMA,CASTELLANO,Tapa dura,9788491294054,2022,15/09/2022
A PESAR DE TI,COLLEEN HOOVER,https://imagessl3.casadellibro.com/a/l/t5/63/9788408263463.jpg,"Novela contemporánea,Narrativa extranjera","A Morgan y su hija de dieciséis años, Clara, nada les gustaría más que no parecerse. Morgan está decidida a evitar que su hija cometa los mismos errores que ella, pues al quedarse embarazada y casarse demasiado joven, tuvo que dejar en el aire sus propios sueños. Con personalidades muy distintas les resulta cada vez más difícil coexistir. La única persona que puede traer paz al hogar es Chris, marido, padre y el ancla de la familia. Pero esa paz se rompe cuando se ve envuelto en un trágico y extraño accidente con desgarradoras consecuencias para ellas.",22.50,21.37,432,PLANETA,CASTELLANO,Tapa dura,9788408263463,2022,19/10/2022
